firstName,lastName,slotName,teamName
Austin,Rivers,G,
Nate,Hinton,G,
Jermaine,Samuels,W,
Caleb,Swanigan,W,
Kyle,Guy,G,
Drew,Timme,W,Milwaukee Bucks
Jarrett,Culver,G,
Jalen,Hood-Schifino,G,Los Angeles Lakers
Jalen,Lecque,G,
Mouhamadou,Gueye,W,Atlanta Hawks
Ryan,Broekhoff,G,
DJ,Steward,G,
Damion,Lee,G,Phoenix Suns
Matt,Thomas,G,
Jarron,Cumberland,G,
Quenton,Jackson,G,Washington Wizards
Alondes,Williams,G,
Zhaire,Smith,G,
Tarik,Biberovic,W,Memphis Grizzlies
Jordan,Hall,G,
Adonis,Arms,W,
Elijah,Hughes,G,
Keon,Ellis,G,Sacramento Kings
Terence,Davis,G,
Eli,Brooks,G,
Tony,Snell,G,
Oscar,Tshiebwe,W,Indiana Pacers
Chris,Clemons,G,
Tyler,Dorsey,G,
Darius,Days,W,Houston Rockets
Christian,Vital,G,
Rob,Edwards,G,
Sacha,Killeya-Jones,B,
Nick,Smith,G,Charlotte Hornets
Michael,Frazier,G,
Axel,Toupane,G,
Simone,Fontecchio,W,Utah Jazz
Isaiah,Miller,G,
Jared,Butler,G,
Okaro,White,W,
Pat,Spencer,G,
Kevin,Pangos,G,
Jaylen,Clark,G,Minnesota Timberwolves
Andrew,White,W,
Alex,O'Connell,G,
Fabian,White,W,
Corey,Brewer,G,
Nuni,Omot,W,
Patrick,McCaw,G,
Jack,White,W,Oklahoma City Thunder
Aminu,Mohammed,G,
Jay,Scrubb,G,
Jerome,Robinson,G,
Jaden,Shackelford,G,
Malik,Ellison,G,
LiAngelo,Ball,G,
Azuolas,Tubelis,W,Philadelphia 76ers
Tevin,Brown,G,
Eric,Demers,G,
Malcolm,Miller,G,
Tommy,Kuhse,G,
Gerald,Green,G,
Dru,Smith,G,Miami Heat
Amari,Bailey,G,Charlotte Hornets
Chandler,Vaudrin,G,
Justinian,Jessup,G,
Omari,Moore,G,Milwaukee Bucks
Stanley,Umude,G,
Ty-Shon,Alexander,G,
Scotty,Hopson,G,
Iman,Shumpert,G,
Lucas,Williamson,G,
Marlon,Taylor,G,
Reggie,Kissoonlal,W,
Jalen,Harris,G,
Jacob,Toppin,W,New York Knicks
Kyler,Edwards,G,
Jalen,Wilson,W,Brooklyn Nets
Pierria,Henry,G,
Terquavion,Smith,G,Philadelphia 76ers
Ricky,Council,G,Philadelphia 76ers
Naz,Mitrou-Long,G,
Jett,Howard,W,Orlando Magic
JR,Smith,G,
Jeremy,Lamb,G,
Abdul,Gaddy,G,
Sindarius,Thornwell,G,
Evan,Turner,G,
Iffe,Lundberg,G,
Justin,Holiday,G,Denver Nuggets
Kent,Bazemore,G,
Ethan,Thompson,G,
Gregory,Jackson,W,Memphis Grizzlies
Courtney,Lee,G,
Trevor,Keels,G,New York Knicks
Deividas,Sirvydis,G,
Adama,Sanogo,W,Chicago Bulls
Tomas,Satoransky,G,
Mason,Jones,G,
Langston,Galloway,G,
Ben,McLemore,G,
Tyler,Hall,G,
Gabe,Brown,W,
Melvin,Frazier,G,
Romeo,Langford,G,
Carsen,Edwards,G,
Khyri,Thomas,G,
Charles,Matthews,G,
Jordan,Bowden,G,
Izaiah,Brockington,G,
Mitch,Ballock,G,
Jalen,Pickett,G,Denver Nuggets
Avery,Bradley,G,
Tristan,Vukcevic,B,Washington Wizards
Jaylen,Morris,G,
Miye,Oni,G,
Quinndary,Weatherspoon,G,
Marcus,Foster,G,
Jerian,Grant,G,
Sterling,Brown,G,
Jules,Bernard,G,
Kobe,Bufkin,G,Atlanta Hawks
David,Duke,G,Brooklyn Nets
Romeo,Weems,W,
Drake,Jeffries,G,
Chima,Moneke,W,
Keandre,Cook,G,
Anthony,Tarke,G,
Rodney,Hood,G,
Leonard,Miller,W,
Adam,Mokoka,G,
RJ,Nembhard,G,
Jordan,Miller,W,Los Angeles Clippers
Keljin,Blevins,G,
Trevion,Williams,W,
Colby,Jones,G,Sacramento Kings
Charlie,Brown,G,
Wayne,Selden,G,
Marial,Shayok,G,
Troy,Daniels,G,
Dakota,Mathias,G,
Garrison,Brooks,W,
Hunter,Tyson,W,Denver Nuggets
Cameron,Reynolds,G,
Marco,Belinelli,G,
Kendall,Brown,G,
Mike,Miles,G,Dallas Mavericks
DeJon,Jarreau,G,
Allen,Crabbe,G,
Jacob,Evans,G,
Noah,Clowney,B,Brooklyn Nets
Isaiah,Wong,G,Indiana Pacers
Rayan,Rupert,G,Portland Trail Blazers
Gradey,Dick,W,Toronto Raptors
Matt,Lewis,G,
Darryl,Morsell,G,
Matt,Mooney,G,
A.J.,Reeves,G,
Wesley,Matthews,G,
Damyean,Dotson,G,
Lester,Quinones,G,
Ibou,Badji,B,Portland Trail Blazers
Craig,Sword,G,
Stephen,Zimmerman,B,
Julian,Strawther,W,Denver Nuggets
Donovan,Williams,G,
Kris,Murray,W,Portland Trail Blazers
Terrance,Ferguson,G,
Brandon,Rachal,G,
Andre,Jackson,G,Milwaukee Bucks
Makur,Maker,B,
Jake,Toolson,G,
Levi,Randolph,G,
Nik,Stauskas,G,
A.J.,Green,G,Milwaukee Bucks
Duane,Washington,G,New York Knicks
Jared,Cunningham,G,
D.J.,Stewart,G,
Isaiah,Whaley,W,
Lou,Williams,G,
Jeenathan,Williams,G,Portland Trail Blazers
Myles,Powell,G,
Caleb,Daniels,G,Miami Heat
Jalen,Slawson,W,Sacramento Kings
Scoot,Henderson,G,
Caleb,Homesley,G,
DJ,Carton,G,
Elijah,Bryant,G,
Brice,Sensabaugh,W,Utah Jazz
Dusty,Hannahs,G,
Ben,Sheppard,G,Indiana Pacers
Gabe,York,G,
Johnny,Juzang,G,
Davon,Reed,G,
Jalen,Adaway,G,
Trayvon,Palmer,G,
Shake,Milton,G,Minnesota Timberwolves
Nate,Darling,G,
Sheldon,Mac,G,
Awudu,Abass,W,
Jamal,Cain,W,Miami Heat
Sidy,Cissoko,W,San Antonio Spurs
Ade,Murkey,G,
Justin,Bean,W,
Marcus,Garrett,G,
Rayjon,Tucker,G,
Wes,Iwundu,G,
JJ,Redick,G,
Javon,Freeman-Liberty,G,
Leonard,Miller,W,Minnesota Timberwolves
Cassius,Stanley,G,
Ty,Jerome,G,Cleveland Cavaliers
Grant,Golden,W,
Scottie,Lewis,G,
James,Nnaji,B,Charlotte Hornets
Mojave,King,G,Indiana Pacers
Tyrone,Wallace,G,
Treveon,Graham,G,
Justin,Minaya,W,Portland Trail Blazers
Deonte,Burton,G,
Xavier,Moon,G,
Javante,McCoy,G,
Chance,Comanche,B,Portland Trail Blazers
Sidy,Cissoko,G,
Joel,Ayayi,G,
Justise,Winslow,W,
Rawle,Alkins,G,
Zach,Norvell,G,
Nate,Pierre-Louis,W,
Jared,Rhoden,G,Detroit Pistons
Bryson,Williams,W,
Anthony,Duruji,W,
John,Petty,G,
Ibi,Watson,G,
Marko,Guduric,G,
Keyontae,Johnson,W,Oklahoma City Thunder
Antonius,Cleveland,G,
Kahlil,Whitney,W,
Didi,Louzada,G,
Terrence,Ross,G,
Mojave,King,G,
Noah,Kirkwood,G,
Bryce,Brown,G,
Sir'Jabari,Rice,G,San Antonio Spurs
Markus,Howard,G,
Brodric,Thomas,G,
Isaac,Bonga,G,
Andre,Roberson,G,
Theo,Pinson,G,
Jordan,McRae,G,
Julian,Phillips,W,Chicago Bulls
Chaundee,Brown,G,
Denzel,Valentine,G,
Dwayne,Bacon,G,
MaCio,Teague,G,
Dion,Waiters,G,
Jaime,Jaquez,W,Miami Heat
Josh,Reaves,G,
Joey,Hauser,W,Utah Jazz
John,Butler,B,Portland Trail Blazers
Jahmi'us,Ramsey,G,
Joe,Johnson,G,
Robert,Woodard,W,
Denzel,Mahoney,G,
Davion,Mintz,G,
Mouhamed,Gueye,W,Atlanta Hawks
Keaton,Wallace,G,
Xavier,Cooks,W,Washington Wizards
Jeriah,Horne,W,
Maxwell,Lewis,W,Los Angeles Lakers
Jamal,Crawford,G,
Wayne,Ellington,G,
Jordan,Walsh,W,Boston Celtics
Dariq,Whitehead,W,Brooklyn Nets
Chris,Livingston,W,Milwaukee Bucks
M.J.,Walker,G,
Devon,Hall,G,
Rodney,McGruder,G,
Malik,Newman,G,
Trevon,Bluiett,G,
Jaylen,Sims,G,
Trayce,Jackson-Davis,W,Golden State Warriors
Juhann,Begarin,G,
Jaylen,Martin,W,New York Knicks
Mac,McClung,G,Philadelphia 76ers
Jacob,Gilyard,G,Memphis Grizzlies
E'Twaun,Moore,G,
Leandro,Bolmaro,G,
Paul,Watson,W,
Marcus,Sasser,G,Detroit Pistons
Daeqwon,Plowden,G,
Marcus,Bingham,W,
